證券代碼,簡稱,年月日,收盤價(元)
0052   ,富邦科技     ,20080630,    23.1416
0056   ,元大高股息   ,20080630,    12.9608
0050   ,元大台灣50   ,20080701,    36.2169
0052   ,富邦科技     ,20080701,    22.8756
0056   ,元大高股息   ,20080701,    12.7231
0050   ,元大台灣50   ,20080702,    35.8211
0052   ,富邦科技     ,20080702,    22.8823
0056   ,元大高股息   ,20080702,    12.7514
0050   ,元大台灣50   ,20080703,    35.7551
0052   ,富邦科技     ,20080703,    22.8823
0056   ,元大高股息   ,20080703,    12.7910
0050   ,元大台灣50   ,20080704,    34.6996
0052   ,富邦科技     ,20080704,    22.2771
0056   ,元大高股息   ,20080704,    12.5080
0050   ,元大台灣50   ,20080707,    35.3263
0052   ,富邦科技     ,20080707,    22.4700
0056   ,元大高股息   ,20080707,    12.6778
0050   ,元大台灣50   ,20080708,    34.1059
0052   ,富邦科技     ,20080708,    21.9579
0056   ,元大高股息   ,20080708,    12.1175
0050   ,元大台灣50   ,20080709,    33.9409
0052   ,富邦科技     ,20080709,    21.8981
0056   ,元大高股息   ,20080709,    12.1175
0050   ,元大台灣50   ,20080710,    34.1059
0052   ,富邦科技     ,20080710,    21.8116
0056   ,元大高股息   ,20080710,    12.2364
0050   ,元大台灣50   ,20080711,    34.8975
0052   ,富邦科技     ,20080711,    21.8781
0056   ,元大高股息   ,20080711,    12.4797
0050   ,元大台灣50   ,20080714,    34.4357
0052   ,富邦科技     ,20080714,    21.8582
0056   ,元大高股息   ,20080714,    12.4175
0050   ,元大台灣50   ,20080715,    32.9184
0052   ,富邦科技     ,20080715,    21.6121
0056   ,元大高股息   ,20080715,    12.0326
0050   ,元大台灣50   ,20080716,    32.6546
0052   ,富邦科技     ,20080716,    21.2796
0056   ,元大高股息   ,20080716,    11.8855
0050   ,元大台灣50   ,20080717,    34.4357
0052   ,富邦科技     ,20080717,    21.5789
0056   ,元大高股息   ,20080717,    12.0666
0050   ,元大台灣50   ,20080718,    33.6441
0052   ,富邦科技     ,20080718,    21.5456
0056   ,元大高股息   ,20080718,    11.7044
0050   ,元大台灣50   ,20080721,    35.4582
0052   ,富邦科技     ,20080721,    22.4101
0056   ,元大高股息   ,20080721,    12.1005
0050   ,元大台灣50   ,20080722,    34.8975
0052   ,富邦科技     ,20080722,    22.0111
0056   ,元大高股息   ,20080722,    12.0553
0050   ,元大台灣50   ,20080723,    35.8211
0052   ,富邦科技     ,20080723,    22.5431
0056   ,元大高股息   ,20080723,    12.5080
0050   ,元大台灣50   ,20080724,    36.0519
0052   ,富邦科技     ,20080724,    22.6096
0056   ,元大高股息   ,20080724,    12.5590
0050   ,元大台灣50   ,20080725,    35.5572
0052   ,富邦科技     ,20080725,    22.2705
0056   ,元大高股息   ,20080725,    12.4401
0050   ,元大台灣50   ,20080729,    34.2708
0052   ,富邦科技     ,20080729,    21.5456
0056   ,元大高股息   ,20080729,    12.1685
0050   ,元大台灣50   ,20080730,    34.6666
0052   ,富邦科技     ,20080730,    21.9446
0056   ,元大高股息   ,20080730,    12.2817
0050   ,元大台灣50   ,20080731,    34.5677
0052   ,富邦科技     ,20080731,    21.7052
0056   ,元大高股息   ,20080731,    12.1515
0050   ,元大台灣50   ,20080801,    34.5677
0052   ,富邦科技     ,20080801,    21.7052
0056   ,元大高股息   ,20080801,    12.0722
0050   ,元大台灣50   ,20080804,    34.6336
0052   ,富邦科技     ,20080804,    21.6454
0056   ,元大高股息   ,20080804,    11.9930
0050   ,元大台灣50   ,20080805,    33.9080
0052   ,富邦科技     ,20080805,    21.4126
0056   ,元大高股息   ,20080805,    11.7836
0050   ,元大台灣50   ,20080806,    35.1614
0052   ,富邦科技     ,20080806,    22.2505
0056   ,元大高股息   ,20080806,    11.9817
0050   ,元大台灣50   ,20080807,    34.9964
0052   ,富邦科技     ,20080807,    22.6096
0056   ,元大高股息   ,20080807,    11.9421
0050   ,元大台灣50   ,20080808,    36.0519
0052   ,富邦科技     ,20080808,    23.5074
0056   ,元大高股息   ,20080808,    12.1402
0050   ,元大台灣50   ,20080811,    36.6787
0052   ,富邦科技     ,20080811,    24.1989
0056   ,元大高股息   ,20080811,    12.3439
0050   ,元大台灣50   ,20080812,    36.6457
0052   ,富邦科技     ,20080812,    24.1125
0056   ,元大高股息   ,20080812,    12.3439
0050   ,元大台灣50   ,20080813,    36.5137
0052   ,富邦科技     ,20080813,    24.0394
0056   ,元大高股息   ,20080813,    12.4062
