公司	簡稱	年/月	  現金及約當現金	  透過損益按公允價值衡量之金融資產－流動	  合約資產－流動	  應收帳款及票據	  其他應收款	  資金貸予他人－流動	  存貨	  待出售非流動資產	  當期所得稅資產－流動	流動資產	  按攤銷後成本衡量之金融資產－非流動	  採權益法之長期股權投資	  預付投資款	  不動產廠房及設備	  商譽及無形資產合計	    遞延所得稅資產	    投資性不動產淨額	  其他非流動資產	非流動資產	資產總額	  短期借款	  透過損益按公允價值衡量之金融負債－流動	  合約負債－流動	  應付帳款及票據	  其他應付款	  當期所得稅負債	  與待出售非流動資產直接相關之負債	  一年內到期長期負債	流動負債	  透過損益按公允價值衡量之金融負債－非流動	  應付公司債－非流動	  銀行借款－非流動	  負債準備－非流動	  應計退休金負債	  遞延所得稅	非流動負債	負債總額	  股本	  資本公積合計	    法定盈餘公積	    特別盈餘公積	    未分配盈餘	  保留盈餘	  其他權益	  庫藏股票帳面值	母公司股東權益合計	共同控制下前手權益	合併前非屬共同控制股權	非控制權益	股東權益總額	負債及股東權益總額
1101   	台泥         	201209	    20583749	      100244	           0	    20357647	     2813517	     1223651	     8192966	           0	           0	    76293473	           0	     6914246	     5498182	   104860815	    17364896	           0	     5881289	    52578369	   192481237	   268774710	    20667494	       22791	     2443555	     8735816	     6693772	      742079	           0	    16140214	    61357920	           0	     3500000	    56754795	           0	      356464	     9274428	    70322674	   131680594	    36921759	    12211032	     9952623	    13060950	    19149059	    42162632	    10932864	           0	   102228287	           -	           -	    34865829	   137094116	   268774710
1102   	亞泥         	201209	     4595351	     6728311	           0	    16386851	     1006619	           0	     7167135	           0	           0	    49852366	      608369	    44657601	           0	    55944726	     2148105	      249025	     6936369	    24252916	   142825470	   192677836	     9454938	      638446	      814737	     7181787	      255012	      453821	           0	    17757906	    42700386	           0	    24963925	    18394590	      269251	      216366	     4297182	    49886197	    92586583	    32309181	      846857	    11954738	    14015713	    18813318	    44783769	     5883959	           0	    83823766	           -	           -	    16267487	   100091253	   192677836
1103   	嘉泥         	201209	     3471958	     1896998	           0	      586942	       68921	       35888	     1588692	           0	        1544	    12208781	           0	      657204	           0	     3846867	           0	      300946	     6628084	     7610264	    16460543	    28669324	      717473	           0	      381004	      352185	      249195	        8029	           0	     1117265	     2825582	        1510	           0	     8169668	           0	       90106	     1631170	    10202068	    13027650	     7768285	      444825	     1830635	      592193	     5556354	     7979182	    -1645389	    -1153409	    13393494	           -	           -	     2248180	    15641674	    28669324
1101   	台泥         	201212	    25611406	      148527	           0	    19498993	     2143543	     1220456	     9645715	           0	           0	    80534379	           0	     7181369	     6408525	   104289140	    17282511	      317273	     5874323	    52784253	   193414107	   273948486	    18945086	         167	     2267023	     7880074	     9162750	     1266913	           0	    21693156	    66990199	       24989	     3500000	    51367579	           0	      332765	     9321578	    65151947	   132142146	    36921759	    12215684	     9952623	    13060950	    21094539	    44108112	    12716255	           0	   105961810	           0	           0	    35844530	   141806340	   273948486
1102   	亞泥         	201212	     8309069	      718691	           0	    16368890	      454500	           0	     7515813	           0	           0	    49663040	     1258166	    65102861	           0	    55930994	     2159286	      282163	    29672144	    47277208	   186991961	   236655001	    10821788	      668747	      571673	     6926000	      218023	      561568	           0	    17588512	    41721322	           0	    24931418	    17976435	      270383	      222129	     5257986	    50233697	    91955019	    32309181	     1034446	    11954738	    14015705	    61770961	    87741404	     6964661	           0	   128049692	           0	           0	    16650290	   144699982	   236655001
1103   	嘉泥         	201212	     4284000	     1836781	           0	      610243	       83700	       34700	      958623	           0	         700	    12515670	           0	      646825	           0	     3797226	           0	      228927	     6661233	     7573982	    16801716	    29317386	     1258691	           0	       30446	      546612	      242560	       50167	           0	      798556	     2927648	        1288	           0	     7921165	           0	      107856	     1603806	     9939767	    12867415	     7768285	      444825	     1830635	      592193	     5540703	     7963531	     -943958	    -1153409	    14079274	           0	           0	     2370697	    16449971	    29317386
1101   	台泥         	201303	    18994984	      271687	           0	    18645075	     4424359	     1310592	    10684600	           0	           0	    77599232	           0	     7460075	      365085	   110910778	    19111565	           0	     6085160	    51996732	   195236001	   272835233	    18455981	        2401	     2971595	     9061722	     9369864	     1416789	           0	    19917934	    65913019	       16686	     3500000	    47803800	           0	      303649	     9353869	    61556516	   127469535	    36921759	    12215684	     9952623	    13053436	    22515088	    45521147	    13214330	           0	   107872920	           0	           0	    37492778	   145365698	   272835233
1102   	亞泥         	201303	    14912589	     4484947	           0	    15797375	      647610	           0	     7667257	           0	       18924	    57789464	     1417828	    66341411	           0	    57667022	     2193825	      316067	    29672144	    47869835	   190463519	   248252983	    12195793	      559331	      734393	     7213046	      251872	      654874	           0	    28462379	    54557931	           0	    12408383	    27385888	      259020	      214628	     5282091	    47652812	   102210743	    32309181	     1034446	    11954738	    14013199	    62992831	    88960768	     6469871	           0	   128774266	           0	           0	    17267974	   146042240	   248252983
1103   	嘉泥         	201303	     3832676	     2039831	           0	      534884	       66608	       35728	      921566	           0	         352	    12221392	           0	      696733	           0	     3851001	           0	      167846	     6657510	     7643124	    16755562	    28976954	     1148125	           0	       31035	      373286	      288531	       78242	           0	     1005034	     2958234	        1121	           0	     7632565	           0	      110659	     1528431	     9622730	    12580964	     7768285	      444825	     1830635	     2819594	     3394741	     8044970	     -997405	    -1153409	    14107266	           0	           0	     2288724	    16395990	    28976954
1101   	台泥         	201306	    20171167	      275130	           0	    20128386	     4773296	      365117	    10591130	           0	           0	    77446686	           0	     7912439	      560780	   110566117	    19486078	           0	     6078397	    52415968	   196126957	   273573643	    16187106	        6884	     2893731	     9882099	    15731120	      913601	           0	    18951638	    68900434	        7773	     3500000	    50736261	           0	      301897	     9458082	    65466041	   134366475	    36921759	    12192857	    10726105	    13053436	    17295884	    41075425	    11577183	           0	   101767224	           0	           0	    37439944	   139207168	   273573643
